E01909	2020-03-31	(連結子会社) ＣＫＤシコク 精工㈱	高知県 宿毛市	百万円 10	自動機械製品 機器製品	％  100.0
E01909	2020-03-31	ＣＫＤ グローバル サービス㈱	愛知県 小牧市	百万円 12	保険代理 ファクタリング業務	100.0
E01909	2020-03-31	ＣＫＤ フィールドエンジニアリング㈱	愛知県 小牧市	百万円 8	自動機械製品	100.0
E01909	2020-03-31	ＣＫＤ 日機電装㈱	神奈川県 川崎市	百万円 100	機器製品	100.0
E01909	2020-03-31	CKD THAI CORPORATION LTD．	タイ チョンブリ県	千バーツ 200,000	自動機械製品 機器製品	100.0
E01909	2020-03-31	CKD SINGAPORE PTE.LTD.	シンガポール	千シンガポール ドル 250	機器製品	100.0
E01909	2020-03-31	CKD USA CORPORATION	米国 イリノイ州	千米ドル 6,000	機器製品	100.0
E01909	2020-03-31	M-CKD PRECISION SDN.BHD.	マレーシア スランゴール州	千リンギッド 350	機器製品	100.0
E01909	2020-03-31	喜開理 (中国) 有限公司 (注)２	中国 無錫市	千人民元 398,468	自動機械製品 機器製品	100.0
E01909	2020-03-31	喜開理 (上海) 機器有限公司	中国 上海市	千人民元 35,836	機器製品	100.0
E01909	2020-03-31	CKD韓国㈱	韓国 ソウル市	千ウォン 6,100,000	機器製品	100.0
E01909	2020-03-31	台湾喜開理股份 有限公司	台湾 新北市	千台湾ドル 67,100	機器製品	100.0
E01909	2020-03-31	CKD VIETNAM ENGINEERING CO.,LTD.	ベトナム ハノイ市	千ドン 10,623,000	機器製品	100.0
E01909	2020-03-31	PT CKD TRADING INDONESIA	インドネシア ジャカルタ市	千ルピア 8,000,000	機器製品	100.0
E01909	2020-03-31	PT CKD MANUFACTURING INDONESIA	インドネシア ブカシ市	千ルピア 26,000,000	機器製品	100.0
E01909	2020-03-31	CKD MEXICO, S. de R.L. de C.V.	メキシコ ケレタロ州	千ペソ 10,673	機器製品	100.0
E01909	2020-03-31	CKD India Private Limited	インド ハリヤーナー州	千ルピー 150,000	機器製品	100.0
E01909	2020-03-31	CKD Europe B.V.	オランダ 北ホラント州	千ユーロ 51	機器製品	100.0
E01909	2020-03-31	Nikki Denso International Korea Co.,Ltd.	韓国 仁川広域市	千ウォン 240,000	機器製品	51.0
E01909	2020-03-31	(持分法適用 関連会社) EPSITEC　S.R.L.	イタリア トスカーナ州	千ユーロ 10	機器製品	39.0